Season,Player,School,Position
1982,Jim Paciorek,Michigan,OF
1983,Terry Steinbach Rich Stoll,Minnesota Michigan,3B P
1984,Barry Larkin,Michigan,SS
1985,Barry Larkin ( 2 ),Michigan,SS
1986,Casey Close,Michigan,OF
1987,Darrin Fletcher,Illinois,C
1988,Jim Abbott,Michigan,P
1989,Bubba Smith,Illinois,1B / P
1990,Mark Dalesandro,Illinois,IF / C
1991,Brent Gates,Minnesota,SS
1992,Brett Backlund Mike Smith,Iowa Indiana,P SS
1993,Mark Loretta,Northwestern,SS
1994,Mark Merila Jonathan Sweet,Minnesota Ohio State,2B C
1995,Shane Gunderson Scott Weaver,Minnesota Michigan,C OF
1996,Josh Klimek,Illinois,SS
1997,Dan Seimetz,Ohio State,1B
1998,D.J . Svihlik,Illinois,2B
1999,Robb Quinlan,Minnesota,1B
2000,Mike Campo,Penn State,OF
2001,Jack Hannahan,Minnesota,3B
