Riding,Candidate 's Name,Notes,Gender,Residence,Occupation
Acadie - Bathurst,Louis Robichaud,candidate,M,,
Beauséjour,Evelyne Chapman,candidate,F,,
Fredericton,Keith Ashfield,Incumbent Member of Parliament,M,Lincoln,Legislator
Fundy Royal,Rob Moore,Incumbent Member of Parliament,M,Quispamsis,Parliamentarian
Madawaska - Restigouche,Bernard Valcourt,Former MP and Cabinet Minister,M,,
Miramichi,Tilly O'Neill-Gordon,Incumbent Member of Parliament,F,Miramichi,Teacher
Moncton - Riverview - Dieppe,Robert Goguen,New Brunswick Progressive Conservative Party President,M,Moncton,
New Brunswick Southwest,John Williamson,Candidate,M,,
Saint John,Rodney Weston,Incumbent Member of Parliament,M,Saint Martens,Manager
Tobique - Mactaquac,Mike Allen,Incumbent Member of Parliament,M,Douglas,Parliamentarian
