Year,Title,Role
2004,Mean Girls,Karen Smith
2005,Nine Lives,Samantha
2005,American Gun,Mouse
2006,Alpha Dog,Julie Beckley
2006,"Gypsies , Tramps & Thieves",Chrissy
2008,Solstice,Zoe
2008,Mamma Mia !,Sophie Sheridan
2008,Official Selection,Emily
2009,Boogie Woogie,Paige Oppenheimer
2009,Jennifer 's Body,Anita Needy Lesnicki
2009,Chloe,Chloe Sweeney
2010,Dear John,Savannah Lynn Curtis
2010,Letters to Juliet,Sophie Hall
2011,Red Riding Hood,Valerie
2011,A Bag of Hammers,Amanda
2011,In Time,Sylvia Weis
2012,Gone,Jill Conway
2012,Les Misérables,Cosette
2013,The End of Love,Amanda
2013,The Big Wedding,Missy O'Connor
