Date,Sport,Venue/Event,Status,Winner/s
1-10,Alpine skiing,2015 IPC Alpine Skiing World Championships,International,Russia
2-8,Figure skating,2015 World Junior Figure Skating Championships,International,Men : Shoma Uno Ladies : Evgenia Medvedeva Pairs : Yu Xiaoyu / Jin Yang Ice dance : Anna Yanovskaya / Sergey Mozgov
3-15,Biathlon,Biathlon World Championships 2015,International,France and Germany ( three gold medals each )
4-29,Association football,2015 South American Under-17 Football Championship,Continental,Brazil
5-8,Golf,2015 WGC-Cadillac Championship,International,Dustin Johnson
5-4 October,Rugby league,2015 NRL season,Continental,North Queensland Cowboys
6-7,Triathlon,World Triathlon Series # 1,International,Men : Mario Mola Women : Gwen Jorgensen
6-8,Athletics,2015 European Athletics Indoor Championships,Continental,Russia
6-25 October,Association football,2015 Major League Soccer season,Domestic,Eastern Conference ( MLS ) : New York Red Bulls Western Conference ( MLS ) : FC Dallas Supporters ' Shield : New York Red Bulls
6-29 November,Tennis,2015 Davis Cup,International,Great Britain
7-8,Speed skating,2015 World Allround Speed Skating Championships,International,Men : Sven Kramer Women : Martina Sáblíková
7-13,Ice hockey,2015 IIHF Women 's World Championship Division II - Group B,International,Slovenia is promoted to Division II Group A Belgium is relegated to Division II Group B Qualification
8-22,Association football,2015 African U-20 Championship,Continental,Nigeria
9-22,Tennis,2015 BNP Paribas Open,International,Men : Novak Djokovic Women : Simona Halep
10-14,Snooker,2015 Indian Open,International,Michael White
13-15,Speed skating,2015 World Short Track Speed Skating Championships,International,South Korea
14-15,Triathlon,Triathlon World Cup # 1,International,Men : David Hauss Women : Tamara Gómez Garrido
14-22,Curling,2015 World Women 's Curling Championship,International,Switzerland ( Skip : Alina Pätz )
15,Formula One,2015 Australian Grand Prix,International,Lewis Hamilton ( Mercedes )
15-22,Ice hockey,2015 IIHF World U18 Championship Division II - Group B,International,Romania is promoted to Division II Group A Australia is relegated to Division III Group A
