Year,Serial,Role,Channel
2005,Kkavyanjali,Kkavya 's paternal grandmother,Star Plus
2006,Zaara,Dadi,Sahara One
2011,Neem Neem Shahad Shahad,Hansmukh 's wife,Sahara One
2012,Haar Jeet,Sahil 's grandmother,NDTV Imagine
20 October 2012 - April 2014,Qubool Hai,Badi Bii,Zee TV
September 2014 - 2 January 2015,Qubool Hai,Neha 's Daadi,Zee TV
21 February 2015 - 13 June 2015,Zindagi Wins,Nurse Mariam,Bindass
10 August 2015 - 26 August 2016,Ishq Ka Rang Safed,Sushma Tripathi,Colors
10 October 2016,Chandra Nandini,Grand-Queen Sonarika of Magadha,Star Plus
19 March 2018,Kullfi Kumarr Bajewala,Dadi,Star Plus
