Type,Symbol,Description,Adopted
Animal,Rocky Mountain elk Cervus canadensis nelsoni,"Once found over most of the United States and Canada , elk herds have been decimated by hunting and habitat loss . Now , elk are only found in the Rocky Mountains . State owned Hardware Ranch provides feed for 600 elk every winter",1971
Astronomical symbol,Beehive Cluster,"The Beehive Cluster is an open cluster of about 1,000 stars and is located in the constellation Cancer . It was named the state 's astronomical symbol due to having the same name as the state 's emblem and nickname",1996
Bird,California gull Larus californicus,"Named the state bird in commemoration of the miracle of the gulls . In 1848 , the pioneers where tending to their first harvest since they arrived in Utah , when Mormon cricket swarmed in and started to devour the crops . California gulls came in and ate the crickets , thus saving the crops",1955
Emblem,Beehive,"The beehive symbolizes industry , which is the state 's motto . Before the state of Utah , the provisional government of the State of Deseret also had the beehive as its emblem . Deseret means honeybee in the Book of Mormon . The first bees brought to modern-day Utah were allegedly carried by Charles Crismon from the Mormon colony in San Bernardino , California",1959
Cooking Pot,Dutch Oven,"Dutch ovens were the primary cooking vessels of pioneers . The World Championship Dutch Oven Cookoff is held every summer near Logan , Utah",1997
Fish,Bonneville Cutthroat Trout Oncorhynchus clarki Utah,"In 1997 , the state fish became the Bonneville Cutthroat Trout replacing the Rainbow Trout , which had been the state fish since 1971 . The Bonneville Cutthroat Trout is a native species to Utah , unlike the Rainbow Trout , and was an important source of food for the pioneers and Native Americans",1997
Flag,The Flag of Utah,"The state flag contains a beehive in the middle , the word industry above the beehive and Sego Lilies growing on either side of the beehive . The bald eagle , two American flags , the date 1847 , representing the year the pioneers arrived in Utah , and the date 1896 , the year Utah became a state",1913
Flower,Sego Lily Calochortus nuttallii,The bulbs of the Sego Lily were used as food for the Native Americans and for the Mormon pioneers when food became scarce,1911
Dance,Square dance,"Andrew Love Neff , in his book History of Utah 1847-1869 , says The Mormons love dancing ... almost every third man is a fiddler , and every one must learn to dance ... Let it be remembered that only square dances were indulged in",1994
Firearm,Browning M1911,Named due to inventor John Browning 's ties to Utah,2011
Fossil,Allosaurus,A meat eater and the most common Theropod that lived during the late Jurassic period . Utah 's Cleveland-Lloyd Dinosaur Quarry contains the densest concentration of Jurassic period fossils ever found and has more Allosaurus fossils have been found at the Quarry than any where else . The University of Utah 's Utah Museum of Natural History has the world 's largest collection of Allosaurus fossils,1988
Fruit,Cherry Prunus avium,"Cherries are a major fruit crop in the state of Utah . Cherry trees , given by Japan just after World War II , line the Utah State Capitol grounds",1997
Gem,Topaz,"The semiprecious crystal is made from silicon , aluminium and fluorine . Utah topaz can be yellow , gold , red and pink in color . It is found in Juab , Tooele and Beaver counties",1969
Grass,Indian Ricegrass Achnatherum hymenoides,"Indian ricegrass is a perennial bunchgrass . The ricegrass is a vital food source for animals as it starts to produces green shoots in late winter and into spring , before other food sources start to grow . Native Americans would turn the seeds into flour for bread",1990
Hymn,"Utah , We Love Thee","Utah 's original state song from 1936 to 2003 . The song was written in 1895 by Evan Stephens for celebrations held in 1896 , when Utah became a state",2003
Insect,Honey Bee Apis mellifera,Utah 's nickname is the beehive state . Utah was first called the State of Deseret with Deseret meaning honeybee in the Book of Mormon,1983
Language,English,Utah voters approved Initiative A on the 2000 ballot to make English become the official language,2000
Mineral,Copper,"Utah is home to the Bingham Canyon Open Pit Copper Mine , which has produced copper since 1906 . The mine has produced more copper than any other mine in history",1994
Motto,Industry,The beehive symbolizes industry . Industry appears on the state flag and the Great Seal of the State of Utah,1959
Reptile,Gila monster Heloderma suspectum,"Named the state reptile following a lobbying campaign by Utah middle schoolers . The Gila monster is the only venomous lizard native to the United States . Although the Gila monster is venomous , its sluggish nature means it represents little threat to humans",2019
