Song,Written By,Recorded,Album,Time,Producer
Album Tag Song,Dennis Wilson,"March 22-23 , 1977",Pacific Ocean Blue re-issue ( 2008 ),3:45,Dennis Wilson John Hanlon Gregg Jakobson
All Alone,Carli Muñoz,"June , 1978",Pacific Ocean Blue re-issue ( 2008 ),3:44,Dennis Wilson Carli Muñoz
Are You Real ?,Dennis Wilson Gregg Jakobson,1978,Pacific Ocean Blue re-issue ( 2008 ),3:38,Dennis Wilson John Hanlon Gregg Jakobson
Cocktails,Dennis Wilson Gregg Jakobson John Hanlon,1977,Pacific Ocean Blue re-issue ( 2008 ),3:00,Dennis Wilson John Hanlon Gregg Jakobson
Common,Dennis Wilson,"April 3 & 13 , 1978",Pacific Ocean Blue re-issue ( 2008 ),3:34,Dennis Wilson John Hanlon Gregg Jakobson
Constant Companion,Carli Muñoz Rags Baker,"June 8 & July 5 , 1978",Pacific Ocean Blue re-issue ( 2008 ),3:22,Dennis Wilson Carli Muñoz
Dreamer,Dennis Wilson Gregg Jakobson,"March 18 , 1977",Pacific Ocean Blue ( 1977 ),4:22,Dennis Wilson Gregg Jakobson
End of The Show,Dennis Wilson Gregg Jakobson,"March 29 & April 19 , 1977",Pacific Ocean Blue ( 1977 ),2:55,Dennis Wilson Gregg Jakobson
Farewell My Friend,Dennis Wilson,"April 21 , 1976",Pacific Ocean Blue ( 1977 ),2:26,Dennis Wilson Gregg Jakobson
Friday Night,Dennis Wilson Gregg Jakobson,Unknown,Pacific Ocean Blue ( 1977 ),3:09,Dennis Wilson Gregg Jakobson
He 's A Bum,Dennis Wilson Gregg Jakobson,July-August 1977,Pacific Ocean Blue re-issue ( 2008 ),2:50,Dennis Wilson John Hanlon Gregg Jakobson
Holy Man,Dennis Wilson Gregg Jakobson,"February 12 , 1975",Pacific Ocean Blue re-issue ( 2008 ),4:24,Dennis Wilson John Hanlon Gregg Jakobson
I Love You,Dennis Wilson Gregg Jakobson,"October 15 & November 1 , 1978",Pacific Ocean Blue re-issue ( 2008 ),2:02,Dennis Wilson John Hanlon Gregg Jakobson
It 's Not Too Late,Carli Muñoz,"May 18 & 24 , & July 15 , 1978",Pacific Ocean Blue re-issue ( 2008 ),4:32,Dennis Wilson Carli Muñoz
Lady,Dennis Wilson,"December 26 , 1969 January 26 , 1970",single release only ( 1970 ),2:24,Unknown
Love Remember Me,Dennis Wilson Gregg Jakobson,March 3 & early August 1977,Pacific Ocean Blue re-issue ( 2008 ),4:04,Dennis Wilson John Hanlon Gregg Jakobson
Love Surrounds Me,Dennis Wilson Geoffrey Cushing-Murray,"January 18 , July 16 , August 30-September 1 , November 13 , & December 8 , 1978 January 2 , 3 , 5 , 9 , 20 , 21 , & 24 , 1979",Pacific Ocean Blue re-issue ( 2008 ),3:40,Dennis Wilson John Hanlon Gregg Jakobson
Mexico,Dennis Wilson,"May 1 , 1978",Pacific Ocean Blue re-issue ( 2008 ),5:13,Dennis Wilson John Hanlon Gregg Jakobson
Moonshine,Dennis Wilson Gregg Jakobson,Unknown,Pacific Ocean Blue ( 1977 ),2:27,Dennis Wilson Gregg Jakobson
Only with You,Dennis Wilson Mike Love,"September 23 , 1976 September 1977",Pacific Ocean Blue re-issue ( 2008 ),3:57,Dennis Wilson John Hanlon Gregg Jakobson
