Medal,Name,Sport,Event
Gold,Roman Lešek,Athletics,Pole vault
Gold,Dako Radošević,Athletics,Discus throw
Gold,Zvonko Bezjak,Athletics,Hammer throw
Gold,Miroslav Cerar,Gymnastics,All-around
Gold,Miroslav Cerar,Gymnastics,Pommel horse
Gold,"Mirko Štagljar , Ante Guberina , Mladen Valčić",Rowing,Coxed pair
Gold,"Boro Jovanović , Nikola Pilić",Tennis,Men 's Doubles
Gold,Volleyball team Petar Bojić Branislav Bulatović Gordan Janković Vladimir Janković Mladen Kos Nikola Miković Stevan Pališaški Zoran Petrović Uroš Ribarić Zdenko Špet Josip Tomljanović Adolf Urnaut,Volleyball,Men 's tournament
Gold,Branislav Martinović,Wrestling,Greco-Roman 70kg
Gold,Petar Cucić,Wrestling,Greco-Roman 87kg
Silver,Franc Červan,Athletics,10.000m
Silver,Dragan Anđelković,Athletics,High jump
Silver,Boško Tomasović,Athletics,Shot put
Silver,Branislav Mirković,Boxing,Flyweight
Silver,Vladimir Vranješević,Boxing,Light Middleweight
Silver,"Cerar , Petrović , Šrot , Menčik , Čaklec , Anić",Gymnastics,Team all-around
Silver,Miroslav Cerar,Gymnastics,Floor
Silver,Miroslav Cerar,Gymnastics,Parallel bars
Silver,Miroslav Cerar,Gymnastics,Vault
Silver,Miroslav Cerar,Gymnastics,Horizontal bar
