New IUPAC name,Old IUPAC .mw-parser-output .nobold { font-weight : normal } ( Europe ),CAS name ( U.S . ),Name by element
Group 1,IA,IA,lithium family
Group 2,IIA,IIA,beryllium family
Group 3,IIIA,IIIB,scandium family
Group 4,IVA,IVB,titanium family
Group 5,VA,VB,vanadium family
Group 6,VIA,VIB,chromium family
Group 7,VIIA,VIIB,manganese family
Group 8,VIII,VIIIB,iron family
Group 9,VIII,VIIIB,cobalt family
Group 10,VIII,VIIIB,nickel family
Group 11,IB,IB,copper family
Group 12,IIB,IIB,zinc family
Group 13,IIIB,IIIA,boron family
Group 14,IVB,IVA,carbon family
Group 15,VB,VA,nitrogen family
Group 16,VIB,VIA,oxygen family
Group 17,VIIB,VIIA,fluorine family
Group 18,0,VIIIA,helium family or neon family
