Actor,Character,Year ( s ),Episodes
Paul Barber,Denzil,2005,1
Roy Heather,Sid,2005,1
Roy Marsden,Danny Driscoll,"2005 , 2006 , 2009",3
Christopher Ryan,Tony Driscoll,"2005 , 2006 , 2009",3
Paul Bown,Colin Cakeworthy,"2006 , 2007",2
June Whitfield,"Dora , Marlene 's mother","2007 , 2009",8
Karen Paullada,Rhian,2005,2
Michael Usher,Footballer,2007,1
Ricky Hatton,Himself,2007,1
George Wendt,Cliff Cooper,2007,1
Paula Wilcox,Pertunia,2006,1
David Jason,Del Boy,2009 ( Flashback ),1
Nicholas Lyndhurst,Rodney Trotter,2009 ( Flashback ),1
