Year,Network,Play-by-play,Color commentators,Field reporters,Pregame hosts,Pregame analysts,Trophy presentation
2009,Fox,Joe Buck,Tim McCarver,Ken Rosenthal and Mark Grace,Chris Rose,"Eric Karros , Mark Grace and Ozzie Guillén",Chris Rose
2008,Fox,Joe Buck,Tim McCarver,Chris Myers and Ken Rosenthal,Jeanne Zelasko,Kevin Kennedy Mark Grace ( in Tampa Bay ) Eric Karros ( in Philadelphia ),Jeanne Zelasko
2007,Fox,Joe Buck,Tim McCarver,Chris Myers and Ken Rosenthal,Jeanne Zelasko,Kevin Kennedy Eric Byrnes and Eric Karros ( in Boston ) Joe Girardi and Mark Grace ( in Denver ),Jeanne Zelasko
2006,Fox,Joe Buck,Tim McCarver,Chris Myers and Ken Rosenthal,Jeanne Zelasko,Kevin Kennedy Eric Byrnes ( in Detroit ) Joe Girardi ( in St. Louis ),Jeanne Zelasko
2005,Fox,Joe Buck,Tim McCarver,Chris Myers,Jeanne Zelasko,Kevin Kennedy,Jeanne Zelasko
2004,Fox,Joe Buck,Tim McCarver,Chris Myers,Jeanne Zelasko,Kevin Kennedy,Jeanne Zelasko
2003,Fox,Joe Buck,Tim McCarver,Steve Lyons,Jeanne Zelasko,Kevin Kennedy,Jeanne Zelasko
2002,Fox,Joe Buck,Tim McCarver,Steve Lyons,Jeanne Zelasko,Kevin Kennedy,Jeanne Zelasko
2001,Fox,Joe Buck,Tim McCarver,Steve Lyons,Jeanne Zelasko,Kevin Kennedy,Jeanne Zelasko
2000,Fox,Joe Buck,Tim McCarver and Bob Brenly,Bob Brenly,Keith Olbermann,Steve Lyons,Keith Olbermann
