Year,Time,Athlete,Location
1966,3:36.1,Jim Ryun ( USA ),Berkeley
1967,3:33.1,Jim Ryun ( USA ),Los Angeles
1968,3:34.9,Kipchoge Keino ( KEN ),Mexico City
1969,3:37.2,Marty Liquori ( USA ),Stuttgart
1970,3:34.0,Jean Wadoux ( FRA ),Colombes
1971,3:36.0,Marty Liquori ( USA ),Milan
1972,3:36.33,Pekka Vasala ( FIN ),Munich
1973,3:34.6,Filbert Bayi ( TAN ),Helsinki
1974,3:32.16,Filbert Bayi ( TAN ),Christchurch
1975,3:32.4,John Walker ( NZL ),Oslo
1976,3:34.19,John Walker ( NZL ),Stockholm
1977,3:32.72,John Walker ( NZL ),Brussels
1978,3:35.48,David Moorcroft ( GBR ),Edmonton
1979,3:32.03,Sebastian Coe ( GBR ),Zürich
1980,3:31.36,Steve Ovett ( GBR ),Koblenz
1981,3:31.57,Steve Ovett ( GBR ),Budapest
1982,3:32.12,Sydney Maree ( USA ),Brussels
1983,3:30.77,Steve Ovett ( GBR ),Rieti
1984,3:31.54,Saïd Aouita ( MAR ),Hengelo
1985,3:29.46,Saïd Aouita ( MAR ),Berlin
