Name,Frequency,Publisher,Language,Website
Telecran,Weekly,Saint-Paul,German,www.telecran.lu/
Contacto,Weekly,Saint-Paul,Portuguese,www.jornal-contacto.lu
Lëtzebuerger Journal,Daily,Imprimerie Centrale,German,www.journal.lu/
D'Lëtzebuerger Land,Weekly,Imprimerie Centrale,German,www.land.lu/
Le Quotidien,Daily,Editpress,French,www.lequotidien.lu
Revue,Weekly,Editpress,German,www.revue.lu/
Tageblatt,Daily,Editpress,German,www.tageblatt.lu/
Luxemburger Wort,Daily,Saint-Paul,German,www.wort.lu/
Woxx,Weekly,Independent,"German , French",www.woxx.lu/
Zeitung vum Lëtzebuerger Vollek,Daily,Independent,German,www.zlv.lu/
L'essentiel,Free daily,Edita SA ( Editpress / Tamedia ),"French , German ( only online )","www.lessentiel.lu/fr/ , www.lessentiel.lu/de/"
Nachrichten - Der Nachrichten Channel,Free daily,Independent,German,www.haschcon.com/
Lëtzebuerg Privat,Weekly,Presse de Nicolas,German,http : //www.luxprivat.lu/
PROMI,Weekly,Presse de Nicolas,German,http : //www.promilux.lu/
