Stadium,Capacity,Club
Air Albania Stadium,"22,500",Albania national football team
Loro Boriçi Stadium,"17,500","Vllaznia Shkodër , Albania national football team"
Elbasan Arena,"15,000","KF Elbasani , Albania national football team"
Tomori Stadium,"14,500",FK Tomori Berat
Flamurtari Stadium,"13,000",Flamurtari Vlorë
Selman Stërmasi Stadium,"12,724","KF Tirana , FK Dinamo Tirana , FK Partizani Tirana"
Niko Dovana Stadium,"12,198",KF Teuta Durrës
Abdurrahman Roza Haxhiu Stadium,"12,000",KF Lushnja
Skënderbeu Stadium,"12,000",KF Skënderbeu Korçë
Laçi Stadium,"11,000",KF Laçi
