Elector,Cardinalatial Title,Elevated,Elevator
Pierre Desprès,Bishop of Palestrina,"1320 , December 20",Pope John XXII
Hélie de Talleyrand-Périgord,Bishop of Albano,"1331 , May 25",Pope John XXII
Bertrand de Déaulx,Bishop of Sabina,"1338 , December 18",Pope Benedict XII
"Guillaume de Court , O.Cist",Bishop of Frascati,"1338 , December 18",Pope Benedict XII ( nephew )
Etienne Aubert ( elected Pope Innocent VI ),Bishop of Ostia e Velletri,"1342 , September 20",Pope Clement VI
"Guillaume d'Aure , O.S.B",Priest of S. Stefano al Monte Celio,"1338 , December 18",Pope Benedict XII
"Hugues Roger [ fr ; it ; no ; pl ] , O.S.B",Priest of S. Clemente,"1342 , September 20",Pope Clement VI ( brother of Pope Clement ] )
Pierre Bertrand de Colombier,Priest of S. Susanna,"1344 , February 27",Pope Clement VI
Gil Álvarez Carrillo de Albornoz,Priest of S. Clemente,"1350 , December 17",Pope Clement VI
"Pasteur de Sarrats , O.F.M",Priest of SS . Marcellino e Pietro,"1350 , December 17",Pope Clement VI
"Raymond de Canillac , C.R.S.A",Priest of S. Croce in Gerusalemme,"1350 , December 17",Pope Clement VI ( nephew of Clement VI )
"Guillaume d'Aigrefeuille , O.S.B",Priest of S. Maria in Transpontina,"1350 , December 17",Pope Clement VI ( nephew of Clement VI )
Nicola Capocci,Priest of S. Vitale,"1350 , December 17",Pope Clement VI
Pasqual de Montesquieu,Priest of SS . XII Apostoli,"1350 , December 17",Pope Clement VI
"Arnaud de Villemur , C.R.S.A",Priest of S. Sisto,"1350 , December 17",Pope Clement VI
Pierre de Cros,Priest of SS . Silvestro e Martino,"1350 , December 17",Pope Clement VI ( Cardinal-nephew )
"Gilles Rigaud , O.S.B",Priest of S. Prassede,"1350 , December 17",Pope Clement VI
"Jean de Moulins , O.P",Priest of S. Sabina,"1350 , December 17",Pope Clement VI
Gaillard de la Mothe,Deacon of S. Lucia in Silice,"1316 , December 17",Pope John XXII
Bernard de la Tour,Deacon of S. Eustachio,"1342 , September 20",Pope Clement VI ( Cardinal-nephew )
