Round,Pick,Player,Position,Team,College
-,-,Johnny Bach,G/F,Boston Celtics,Fordham
-,-,Gene Berce,G/F,New York Knicks,Marquette
-,-,Darrell Brown,F,Baltimore Bullets,Humboldt State
-,-,Jack Burmaster,G,St. Louis Bombers,Illinois
-,-,Jake Carter,F/C,Baltimore Bullets,East Texas State
-,-,Jack Coleman,F/C,Providence Steamrollers,Louisville
-,-,Bobby Cook,G,Fort Wayne Pistons,Wisconsin
-,-,Hook Dillon,F,Chicago Stags,North Carolina
-,-,Arnie Ferrin,G/F,Minneapolis Lakers,Utah
-,-,Bill Gabor,G/F,Rochester Royals,Syracuse
-,-,Harry Gallatin,F/C,New York Knicks,Northeast Missouri
-,-,Earl Gardner,F,Minneapolis Lakers,DePauw
-,-,Dee Gibson,G/F,Minneapolis Lakers,Western Kentucky
-,-,Alex Hannum,F/C,Indianapolis Jets,USC
-,-,Marshall Hawkins,F,Boston Celtics,Tennessee
-,-,Joe Holland,F,Baltimore Bullets,Kentucky
-,-,Whitey Kachan,G,Chicago Stags,DePaul
-,-,Leo Katkaveck,G,Washington Capitols,NC State
-,-,Tom Kelly,G,Boston Celtics,NYU
-,-,Andy Kostecka,F,Indianapolis Jets,Georgetown
