No,Title,AKA title ( s ),Platform ( s ),Genre,Release year
1,African Adventures,1 ) 非洲探險 Fēizhōu Tànxiǎn 2 ) Monopoly : Adventure in Africa,MS-DOS & Super A'Can,Puzzle,1995
2,African Adventures 2,1 ) 非洲探險2 Fēizhōu Tànxiǎn 2 2 ) Monopoly : Adventure in Africa 2,MS-DOS,Puzzle,1996
3,Battle of Red Cliffs,赤壁之戰 Chìbì Zhī Zhàn,MS-DOS,RPG,1994
4,Crazy Dodgeball,1 ) 爆笑躲避球 Bàoxiào Duǒbì Qiú 2 ) Panda Dodgeball,MS-DOS,Sport,1994
5,Gambling Lord,賭霸 Dǔ Bà,Super A'Can,Mahjong,1996
6,Hilarious Bowling,爆笑保齡球 Bàoxiào Bǎolíngqiú,MS-DOS,Sport,1995
7,Journey to the West,1 ) 西遊記 Xīyóu Jì 2 ) West Adventure,MS-DOS,Action,1994
8,Little Geniuses : Go Home !,天才寶寶大進擊 Tiāncái Bǎobǎo Dà Jìnjī,MS-DOS,Puzzle,1995
9,Panda : Go Home !,熊貓大進擊 Xióngmāo Dà Jìnjī,MS-DOS,Action,1996
10,Sango Fighter,三國志武將爭霸 Sānguózhì Wǔjiàng Zhēngbà,MS-DOS Super A'Can & PC-98 ( in 1995 ),Fighting,1993
11,Sango Fighter 2,三國志武將爭霸2 Sānguózhì Wǔjiàng Zhēngbà 2,MS-DOS,Fighting,1995
12,Tough Guy,1 ) 格鬥悍將 Gédòu Hàn Jiàng 2 ) Tough Guy : Fighting Titans,MS-DOS,Fighting,1995
13,Volleyball Hominid,排球原人 Páiqiú Yuán Rén,MS-DOS,Sport,1996
14,Water Margin : Heroes of the Marsh,水滸傳之梁山英雄 Shuǐhǔ Zhuàn Zhī Liángshān Yīngxióng,MS-DOS,Action,1997
15,Xiang Yu : The Overlord of Western Chu,西楚霸王項羽 Xī Chǔ Bàwáng Xiàngyǔ,MS-DOS,RPG,1996
