Title,Director,Cast ( subject of documentary ),Genre,Notes,Release date
$ 9.99,Tatia Rosenthal,Geoffrey Rush Joel Edgerton Anthony LaPaglia Claudia Karvan,Animation Drama,Regent Releasing,17 September
Bad Bush,Samuel Genocchio,Chris Sadrinna Jeremy Lindsay Taylor Viva Bianca Malcolm Kennard,Thriller,Veni Vidi Vici Films,7 May
Balibo,Robert Connolly,Anthony LaPaglia Oscar Isaac Gyton Grantley Damon Gameau,War,Transmission Films Based on the novel Cover Up by Jill Jolliffe,14 August
Beautiful,Dean O'Flaherty,Deborra-Lee Furness Erik Thomson Peta Wilson Tahyna Tozzi,Drama,Jump Street Films,5 March
Beautiful Kate,Rachel Ward,Ben Mendelsohn Bryan Brown Maeve Dermody Rachel Griffiths,Drama,Roadshow Entertainment Based on the novel of the same name by Newton Thornburg,6 August
Blessed,Ana Kokkinos,Miranda Otto Deborra-Lee Furness William McInnes Tasma Walton,Drama,Icon Film Distribution,10 September
The Boys Are Back,Scott Hicks,Clive Owen Laura Fraser Emma Lung Erik Thomson Julia Blake,Drama,Miramax Films Based on the novel The Boys Are Back In Town by Simon Carr,12 November
Bright Star,Jane Campion,Ben Whishaw Abbie Cornish Kerry Fox Thomas Sangster,Biography Drama,Apparition Films,26 December
Broken Hill,Dagen Merill,Luke Arnold Alexa Vega Timothy Hutton Rhys Wakefield,Drama,Umbrella Entertainment,11 September
Cedar Boys,Sehat Caradee,Rachael Taylor Martin Henderson Les Chantery Daniel Amalm Buddy Dannoun,Drama,Mushroom Pictures,30 July
Charlie & Boots,Dean Murphy,Paul Hogan Shane Jacobson Roy Billing Morgan Griffin,Comedy,Paramount Pictures,3 September
Closed for Winter,James Bogle,Natalie Imbruglia Danielle Catanzariti Deborah Kennedy Daniel Frederiksen,Drama,Omnilab Media Based on the novel of the same name by Georgia Blain,23 April
Coffin Rock,Rupert Glasson,Lisa Chappell Robert Taylor Sam Parsonson Joseph Del Re,Thriller,Ultra Films,22 October
The Combination,David Field,George Basha Firass Dirani Clare Bowen Vaughn White,Drama,Australian Film Syndicate,26 February
Crush,John V. Soto,Chris Egan Emma Lung Brooke Harman Christian Clark,Thriller,Phase 4 Films,10 April
Disgrace,Steve Jacobs,Eriq Ebouaney John Malkovich Jessica Haines Antoinette Engel,Drama,Dendy Films Based on the novel of the same name by J. M. Coetzee,8 June
Eraser Children,Nathan Christoffel,Rob Alec Simon Barbaro Justin Bechtold Andrew Baker,Comedy,Colour Pictures,29 August
Family Demons,Ursula Dabrowsky,Cassandra Kane Kerry Reid Alex Rafalowicz Tommy Darwin,Horror,Peacock Films,25 March
Home of Strangers,Doan Nguyen,Jimmy Huynh Nicole Pritchard Karen Truong Laurent Boiteux,Action,Passage Entertainment,1 August
I.C.U,Aash Aaron,Margot Robbie Aash Aaron Ozzie Devrish Christian Radford,Thriller,Osiris Entertainment,11 November
