Community,Airport name,Type,ICAO,IATA
Albury,Albury Airport,Public,YMAY,ABX
Armidale,Armidale Airport,Public,YARM,ARM
Ballina,Ballina Byron Gateway Airport,Public,YBNA,BNK
Balranald,Balranald Airport,Public,YBRN,BZD
"Bankstown , Sydney",Bankstown Airport,Airschool,YSBK,BWU
Bathurst,Bathurst Airport,Public,YBTH,BHS
Bourke,Bourke Airport,Public,YBKE,BRK
Brewarrina,Brewarrina Airport,Public,YBRW,BWQ
Broken Hill,Broken Hill Airport,Public,YBHI,BHQ
Camden,Camden Airport,Public,YSCN,CDU
Cessnock,Cessnock Airport,Public,YCNK,CES
Cobar,Cobar Airport,Public,YCBA,CAZ
Coffs Harbour,Coffs Harbour Airport,Public,YCFS,CFS
Collarenebri,Collarenebri Airport,Public,YCBR,CRB
Condobolin,Condobolin Airport,Public,YCDO,CBX
Coolah,Coolah Airport,Public,YCAH,
Cooma,Cooma - Polo Flat Airport,Public,YPFT,
Cooma,Cooma - Snowy Mountains Airport,Public,YCOM,OOM
Coonabarabran,Coonabarabran Airport,Public,YCBB,COJ
Coonamble,Coonamble Airport,Public,YCNM,CNB
