Year,Title,Artist ( s )
1999,So Real,Mandy Moore
2000,He Was n't Man Enough,Toni Braxton
2000,Upside Down,A-Teens
2000,Does n't Really Matter,Janet Jackson
2000,Honey Bee,Belle Perez
2001,All for You,Janet Jackson
2001,You 're No Good,Ellie Campbell
2002,Gossip Folks,Missy Elliott
2003,One Heart,Celine Dion
2003,Juramento,Ricky Martin
2006,( When You Gon na ) Give It Up to Me,Sean Paul featuring Keyshia Cole
2006,Get Up,Ciara featuring Chamillionaire
2010,Not Myself Tonight,Christina Aguilera
2019,"Happy Anniversary , All I Want for Christmas Is You !",Mariah Carey
