Club,Location,Stadium,Stadium Capacity
FK Andijan,Andijan,Soghlom Avlod Stadium,"18,360"
Bunyodkor,Tashkent,JAR Stadium,"8,460"
Lokomotiv Tashkent,Tashkent,TTYMI Stadium,"6,010"
Mash'al Mubarek,Muborak,Bahrom Vafoev Stadium,"10,000"
Metallurg Bekabad,Bekabad,A.Anoxina Stadium,"11,000"
Nasaf Qarshi,Qarshi,Qarshi Stadium,"16,000"
Navbahor Namangan,Namangan,Markaziy Stadium,"33,000"
FK Neftchi Farg'ona,Fergana,Farghona Stadium,"14,520"
Olmaliq FK,Olmaliq,Metallurg Stadium ( Olmaliq ),"10,000"
Pakhtakor,Tashkent,Pakhtakor Stadium,"35,000"
FK Samarqand-Dinamo,Samarkand,Olimpiya Stadium,"12,250"
FC Shurtan Guzar,Guzor,G'uzor Stadium,"7,000"
Qizilqum Zarafshon,Zarafshan,Progress Stadium,"5,000"
Xorazm FK Urganch,Urgench,Xorazm Stadium,"13,500"
