Wind farm,Location,Site coordinates,Capacity ( MW ),Turbines & model,Commissioning date
Hornsea 1,United Kingdom,53°53′06″N 1°47′28″E / 53.885°N 1.791°E / 53.885 ; 1.791 ( Hornsea 1 ),"1,218",174 x Siemens SWT-7.0-154,2019
Walney Extension,United Kingdom,54°5′17″N 3°44′17″W / 54.08806°N 3.73806°W / 54.08806 ; -3.73806 ( Walney Extension ),659,40 x MHI - Vestas 8.25 MW 47 x Siemens Gamesa 7 MW,2018
London Array,United Kingdom,51°38′38″N 01°33′13″E / 51.64389°N 1.55361°E / 51.64389 ; 1.55361 ( London Array ),630,175 × Siemens SWT-3.6-120,2013
Gemini Wind Farm,Netherlands,54°2′10″N 05°57′47″E / 54.03611°N 5.96306°E / 54.03611 ; 5.96306 ( Gemini Wind Farm ),600,150 × Siemens SWT-4.0,2017
Beatrice,United Kingdom,58°7′48″N 3°4′12″W / 58.13000°N 3.07000°W / 58.13000 ; -3.07000 ( Beatrice Wind Farm ),588,84 × Siemens SWT-7.0-154,2019
Gode Wind ( phases 1+2 ),Germany,54°04′N 7°02′E / 54.067°N 7.033°E / 54.067 ; 7.033 ( Gode Wind I+II ),582,97 x Siemens SWT-6.0-154,2017
Gwynt y Môr,United Kingdom,53°27′00″N 03°35′00″W / 53.45000°N 3.58333°W / 53.45000 ; -3.58333 ( Gwynt y Môr ),576,160 × Siemens SWT-3.6-107,2015
Race Bank,United Kingdom,53°16′N 0°50′E / 53.267°N 0.833°E / 53.267 ; 0.833 ( Race Bank ),573,91 x Siemens SWT-6.0-154,2018
Greater Gabbard,United Kingdom,51°52′48″N 1°56′24″E / 51.88000°N 1.94000°E / 51.88000 ; 1.94000 ( Greater Gabbard wind farm ),504,140 × Siemens SWT-3.6-107,2012
Hohe See,Germany,54°26′N 6°19′E / 54.433°N 6.317°E / 54.433 ; 6.317,497,71 x Siemens SWT-7.0-154,2019
Borkum Riffgrund 2,Germany,53°57′7″N 6°29′17″E / 53.95194°N 6.48806°E / 53.95194 ; 6.48806 ( Borkum Riffgrund 2 ),450,56 x MHI Vestas V164-8.0 MW,2019
Horns Rev 3,Denmark,55°49′N 7°42′E / 55.817°N 7.700°E / 55.817 ; 7.700 ( Horns Rev 3 ),407,49 x MHI Vestas V164-8.3 MW,2019
Dudgeon,United Kingdom,53°14′56″N 1°23′24″E / 53.24889°N 1.39000°E / 53.24889 ; 1.39000 ( Dudgeon Offshore Wind Farm ),402,67 × Siemens SWT-6.0-154,2017
Veja Mate,Germany,54°19′1″N 5°52′15″E / 54.31694°N 5.87083°E / 54.31694 ; 5.87083 ( Veja Mate Wind Farm ),402,67 × Siemens SWT-6.0-154,2017
Anholt,Denmark,56°36′00″N 11°12′36″E / 56.60000°N 11.21000°E / 56.60000 ; 11.21000 ( Anholt Offshore Wind Farm ),400,111 × Siemens SWT-3.6-120,2013
BARD Offshore 1,Germany,54°22′0″N 5°59′0″E / 54.36667°N 5.98333°E / 54.36667 ; 5.98333 ( BARD Offshore 1 ),400,80 × BARD 5.0MW,2013
Global Tech I [ de ],Germany,54°30′00″N 6°21′30″E / 54.50000°N 6.35833°E / 54.50000 ; 6.35833 ( Global Tech I ),400,80 × Areva Multibrid M5000 5.0MW,2015
Rampion,United Kingdom,50°40′N 0°06′W / 50.667°N 0.100°W / 50.667 ; -0.100 ( Rampion ),400,116 x MHI Vestas V112-3.45 MW,2018
Binhai North,China,34°40′04″N 120°21′29″E / 34.66778°N 120.35806°E / 34.66778 ; 120.35806 ( Binhai North Wind ),400,100 x Siemens SWT-4.0-120,2018
Merkur,Germany,54°2′N 6°33′E / 54.033°N 6.550°E / 54.033 ; 6.550,396,66 x GE Haliade 150-6 MW,2019
