Committee,Acronym,Chairperson ( group )
Agriculture and Rural Development,AGRI,Norbert Lins ( EPP )
Budgets,BUDG,Johan Van Overtveldt ( ECR )
Budgetary Control,CONT,Monika Hohlmeier ( EPP )
"Civil Liberties , Justice and Home Affairs",LIBE,Juan Fernando López Aguilar ( S & D )
Constitutional Affairs,AFCO,Antonio Tajani ( EPP )
Culture and Education,CULT,Sabine Verheyen ( EPP )
Development,DEVE,Tomas Tobé ( EPP )
Economic and Monetary Affairs,ECON,Roberto Gualtieri ( S & D )
Employment and Social Affairs,EMPL,Lucia Ďuriš Nicholsonová ( ECR )
"Environment , Public Health and Food Safety",ENVI,Pascal Canfin ( RE )
Fisheries,PECH,Chris Davies ( RE )
Foreign Affairs,AFET,David McAllister ( EPP )
Human Rights ( subcommittee ),DROI,Marie Arena ( S & D )
Security and Defence ( subcommittee ),SEDE,Nathalie Loiseau ( RE )
"Industry , Research and Energy",ITRE,Adina-Ioana Vălean ( EPP )
Internal Market and Consumer Protection,IMCO,Petra De Sutter ( Greens/EFA )
International Trade,INTA,Bernd Lange ( S & D )
Legal Affairs,JURI,Lucy Nethsingha ( RE )
Petitions,PETI,Dolors Montserrat ( EPP )
Regional Development,REGI,Younous Omarjee ( GUE/NGL )
