Club,Visa 1,Visa 2,Visa 3,Visa 4
ATM,Bruno Martelotto,Marlon Alex James,NA,NA
Johor Darul Takzim,Andrezinho,Leonel Núñez,NA,NA
Felda United,Nsumbu Mazuwa,Leonel Saint-Preux,NA,NA
Kelantan,Obinna Nwaneri,Dickson Nwakaeme,Lek Kcira,Dimitri Petratos
Negeri Sembilan,William Modibo,Fabio Leandro Barbosa,NA,NA
Pahang,Damion Stewart,Matías Conti,NA,NA
T-Team,George Boateng,Damir Ibrić,NA,NA
Perak,Rafael Silva,Paulo Rangel,NA,NA
PKNS,Patrick Wleh,Roman Chmelo,NA,NA
Selangor,Forkey Doe,Adam Griffiths,Michal Kubala,Peter Chrappan
LionsXII,NA,NA,NA,NA
Terengganu,Effa Owona,Vincent Bikana,NA,NA
