Season,Player,School,Position,Class
1991,Darrin Smith,Miami,LB,Jr
1991,George Rooks,Syracuse,DT,Sr
1992,Micheal Barrow,Miami,LB,Sr
1993,Kevin Patrick,Miami,DE,Sr
1994,Warren Sapp,Miami,DL,Jr
1995,Cornell Brown,Virginia Tech,DE,Jr
1996,Canute Curtis,West Virginia,DE/DT,Sr
1997,Donovin Darius,Syracuse,S,Sr
1998,Corey Moore,Virginia Tech,DE,Jr
1999 *,Corey Moore ( 2 ),Virginia Tech,DE,Sr
2000 *,Dan Morgan,Miami,LB,Sr
2001,Ed Reed,Miami,S,Sr
2001,Dwight Freeney,Syracuse,DE,Sr
2002,Dan Klecko,Temple,DL,Sr
2003,Sean Taylor,Miami,S,Jr
2004,Mathias Kiwanuka,Boston College,DE,Jr
2005,Elvis Dumervil,Louisville,DE,Sr
2006,H.B . Blades,Pittsburgh,LB,Sr
2007,George Selvie,South Florida,DE,So
2008,Scott McKillop,Pittsburgh,LB,Sr
