#,Artist,Artist 's nationality,Title
1,Michel Teló,Brazil,Ai Se Eu Te Pego
2,Die Toten Hosen,Germany,Tage wie diese
3,Lykke Li,Sweden,I Follow Rivers
4,Gotye featuring Kimbra,Belgium / Australia New Zealand,Somebody That I Used to Know
5,Asaf Avidan & The Mojos ( Wankelmut Remix ),Israel Germany,One Day / Reckoning Song
6,Carly Rae Jepsen,Canada,Call Me Maybe
7,Rihanna,Barbados,Diamonds
8,PSY,South Korea,Gangnam Style
9,Loreen,Sweden,Euphoria
10,Olly Murs featuring Rizzle Kicks,United Kingdom,Heart Skips a Beat
11,Alex Clare,United Kingdom,Too Close
12,Sean Paul,Jamaica,She Does n't Mind
13,Of Monsters and Men,Iceland,Little Talks
14,DJ Antoine featuring The Beat Shakers,Switzerland Serbia,Ma Chérie
15,Flo Rida,United States,Whistle
16,"Marteria , Yasha & Miss Platnum",Germany Germany / Romania,Lila Wolken
17,Adele,United Kingdom,Skyfall
18,Tacabro,Italy,Tacata '
19,Cro,Germany,Easy
20,Linkin Park,United States,Burn It Down
