#,Rank,Name,Net worth ( USD ),Citizenship,Sources of wealth
1,11,Al Thani & Family,$ 34 billion,Qatar,Diversified
2,89,Al Waleed Bin Talal,$ 32.5 billion,Saudi Arabia,Trading Company
3,115,Alyousifi & Family,$ 31.9 billion,Kuwait,Diversified
4,120,Sulaiman S. Olayan,"$ 10,700",Saudi Arabia,Diversified
5,120,Bin Laden Family,"$ 10 , 100",Saudi Arabia,Diversified
6,136,Maan Al-Sanea,"$ 7 , 000",Saudi Arabia,Diversified
7,182,Nassef Sawiris,"$ 5,600",Egypt,Orascom Construction Industries ( OCI )
8,310,Naguib Sawiris,"$ 3,500",Egypt,
10,393,Issad Rebrab,"$ 3,300",Algeria,Cevital
11,393,Othman Benjelloun,"$ 3,100",Morocco,BMCE Bank
12,393,Onsi Sawaris,"$ 3,000",Egypt,Orascom Construction Industries ( OCI )
13,409,Najib Mikati,"$ 3,000",Lebanon,
14,420,Abdul Aziz Al Ghurair and Family,"$ 2,700",United Arab Emirates,
16,459,Bahaa Hariri,"$ 2,500",Lebanon,
17,512,Mohammed Al Issa,"$ 2,300",Saudi Arabia,Diversified
18,428,Saif Ahmed Belhasa,"$ 2,200",United Arab Emirates,
18,513,Miloud Chaabi,"$ 2,100",Morocco,Diversified
19,595,Saad Hariri,"$ 2,000",Lebanon,
20,595,Mohamed Mansour,"$ 2,000",Egypt,
21,736,Saleh Abdullah Kamel,"$ 1,700",Saudi Arabia,
