Dance,Celebrity,Highest score,Celebrity,Lowest score
American Smooth,Matt Dawson Emma Bunton,34,Carol Smillie,27
Argentine Tango,Mark Ramprakash,39,Matt Dawson,30
Cha-Cha-Cha,Louisa Lytton,36,Matt Dawson,19
Foxtrot,Matt Dawson,35,Jan Ravens Claire King,24
Jive,Louisa Lytton,36,Jan Ravens Georgina Bouzova,18
Paso Doble,Emma Bunton,37,Peter Schmeichel,19
Quickstep,Matt Dawson,36,Jan Ravens,24
Rumba,Emma Bunton,34,Georgina Bouzova,14
Salsa,Mark Ramprakash,40,Claire King,21
Samba,Emma Bunton Mark Ramprakash,36,Peter Schmeichel,19
Tango,Emma Bunton Louisa Lytton,35,DJ Spoony,27
Viennese Waltz,Mark Ramprakash,36,Jan Ravens,25
Waltz,Matt Dawson,38,Nicholas Owen,14
