Team,City,Stadium,Capacity
Alianza Atlético,Sullana,Campeones del 36,"8,000"
Alianza Lima,Lima,Alejandro Villanueva,"35,000"
Cienciano,Cusco,Garcilaso,"42,056"
CNI,Iquitos,Max Augustín,"24,000"
Coronel Bolognesi,Tacna,Jorge Basadre,"19,850"
Inti Gas,Ayacucho,Ciudad de Cumaná,"15,000"
José Gálvez,Chimbote,Manuel Rivera Sánchez,"25,000"
Juan Aurich,Chiclayo,Elías Aguirre,"24,500"
Melgar,Arequipa,Virgen de Chapi,"40,000"
Sport Áncash,Huaraz,Gerardo Lara Guerrero,"8,000"
Sport Huancayo,Huancayo,Huancayo,"20,000"
Sporting Cristal,Lima,San Martín de Porres,"18,000"
Total Chalaco,Callao,Miguel Grau,"17,000"
Universidad César Vallejo,Trujillo,Mansiche,"25,000"
Universidad San Martín,Lima,San Martín de Porres,"18,000"
Universitario,Lima,Monumental,"80,093"
