Church,Dates,Location,"City , State"
Holy Virgin Cathedral,1961-65 built,6210 Geary Boulevard 37°46′49″N 122°29′10″W / 37.78041°N 122.48624°W / 37.78041 ; -122.48624 ( Holy Virgin Cathedral ),"San Francisco , California"
Holy Trinity Russian Orthodox Cathedral and Rectory,1903 built 1976 NRHP-listed,1121 N. Leavitt Street 41°54′6.98″N 87°40′54.77″W / 41.9019389°N 87.6818806°W / 41.9019389 ; -87.6818806 ( Holy Trinity Russian Orthodox Cathedral and Rectory ),"Chicago , Illinois"
Holy Trinity Russian Orthodox Church,1919 founded,1723 East Fairmount Avenue 39°17′32″N 76°35′33″W / 39.29232°N 76.59246°W / 39.29232 ; -76.59246,"Baltimore , Maryland"
Transfiguration of our Lord Russian Orthodox Church,1963 founded,1723 East Fairmount Avenue 39°17′32″N 76°35′33″W / 39.29232°N 76.59246°W / 39.29232 ; -76.59246 ( Transfiguration of our Lord Russian Orthodox Church ),"Baltimore , Maryland"
Sts . Peter and Paul Russian Orthodox Church,1915-18 built 1983 NRHP-listed,47°54′18″N 93°9′53″W / 47.90500°N 93.16472°W / 47.90500 ; -93.16472 ( Sts . Peter and Paul Russian Orthodox Church ),"Bramble , Minnesota"
"St. Alexander Nevsky Cathedral ( Howell , New Jersey )",,,"Howell , New Jersey"
"Church of the Holy Innocents ( Albany , New York )",1850 built 1978 NRHP-listed,42°39′31″N 73°44′54″W / 42.65861°N 73.74833°W / 42.65861 ; -73.74833 ( Church of the Holy Innocents ),"Albany , New York"
Russian Orthodox Cathedral of the Transfiguration of Our Lord,1916-21 built 1980 NRHP-listed,228 N. 12th St. 40°43′10″N 73°57′13″W / 40.71944°N 73.95361°W / 40.71944 ; -73.95361 ( Russian Orthodox Cathedral of the Transfiguration of Our Lord ),"Brooklyn , New York"
"Holy Trinity Monastery ( Jordanville , New York )",1947-51 built 2011 NRHP-listed,"1407 Robinson Road 42°55′39″N 74°56′2″W / 42.92750°N 74.93389°W / 42.92750 ; -74.93389 ( Holy Trinity Monastery ( Jordanville , New York ) )","Jordanville , New York"
St. Theodosius Russian Orthodox Cathedral,1896 founded 1912 built 1974 NRHP-listed,733 Starkweather Ave. 41°28′38″N 81°40′54″W / 41.47722°N 81.68167°W / 41.47722 ; -81.68167 ( St. Theodosius Russian Orthodox Cathedral ),"Cleveland , Ohio"
"St. Andrew 's Cathedral , Philadelphia",1897 built,,"Philadelphia , Pennsylvania"
