Dance,Highest scored dancer ( s ),Highest score,Lowest scored dancer ( s ),Lowest score
Cha-cha-cha,William Levy Donald Driver,30,Melissa Gilbert,20
Foxtrot,William Levy,30,Martina Navratilova Gavin DeGraw,20
Quickstep,Katherine Jenkins,29,Gladys Knight,19
Jive,Katherine Jenkins,30,Martina Navratilova,17
Samba,William Levy,30,Gavin DeGraw,19
Rumba,Maria Menounos William Levy Katherine Jenkins,27,Gladys Knight,21
Waltz,Katherine Jenkins,29,Donald Driver,28
Salsa,William Levy,30,Melissa Gilbert,21
Tango,William Levy,28,Gladys Knight,20
Paso Doble,Katherine Jenkins Maria Menounos,30,Melissa Gilbert,22
Viennese Waltz,Maria Menounos,28,Melissa Gilbert Jaleel White,24
Argentine Tango,Maria Menounos,30,Melissa Gilbert,21
Freestyle,Katherine Jenkins Donald Driver,30,William Levy,29
