Year,Player,Team ( s ),Doubles
1876,Ross Barnes Dick Higham Paul Hines,Chicago White Stockings Hartford Dark Blues Chicago White Stockings,21
1877,Cap Anson,Chicago White Stockings,19
1878,Dick Higham,Providence Grays,22
1879,Charlie Eden,Cleveland Blues,31
1880,Fred Dunlap,Cleveland Blues,27
1881,Paul Hines King Kelly,Providence Grays Chicago White Stockings,27
1882,King Kelly,Chicago White Stockings,37
1883,Ned Williamson,Chicago White Stockings,49
1884,Paul Hines,Providence Grays,36
1885,Cap Anson,Chicago White Stockings,35
1886,Dan Brouthers,Detroit Wolverines,40
1887,Dan Brouthers,Detroit Wolverines,36
1888,Dan Brouthers Jimmy Ryan,Detroit Wolverines Chicago White Stockings,33
1889,King Kelly,Boston Beaneaters,41
1890,Sam Thompson,Philadelphia Phillies,41
1891,Mike Griffin,Brooklyn Grooms,36
1892,Roger Connor,Philadelphia Phillies,37
1893,Sam Thompson,Philadelphia Phillies,37
1894,Hugh Duffy,Boston Beaneaters,51
1895,Ed Delahanty,Philadelphia Phillies,49
