Year,Movie Name,Cast
1957,Janam Janam Ke Phere,"Nirupa Roy , Mahipal"
1960,Chhalia,"Raj Kapoor , Nutan , Pran , Rehman , Shobhna Samarth"
1963,Bluff Master,"Shammi Kapoor , Saira Banu , Pran , Lalita Pawar"
1966,Budtameez,"Shammi Kapoor , Sadhana , Manorama"
1968,Kismat,"Biswajeet , Babita , Helen , Kamal Mehra"
1970,Sachaa Jhutha,"Rajesh Khanna , Mumtaz , Vinod Khanna"
1972,Raampur Ka Lakshman,"Randhir Kapoor , Rekha , Shatrughan Sinha"
1973,Aa Gale Lag Jaa,"Shashi Kapoor , Sharmila Tagore , Shatrughan Sinha , Om Prakash"
1972,Bhai Ho To Aisa,"Jeetendra , Hema Malini , Shatrughan Sinha"
1974,Roti,"Rajesh Khanna , Mumtaz , Om Prakash , Vijay Arora , Nirupa Roy"
1977,Parvarish,"Amitabh Bachchan , Shammi Kapoor , Vinod Khanna , Neetu Singh , Shabana Azmi"
1977,Dharam Veer,"Dharmendra , Zeenat Aman , Jeetendra , Neetu Singh , Pran"
1977,Chacha Bhatija,"Dharmendra , Randhir Kapoor , Rehman , Hema Malini , Yogeeta Bali"
1977,Amar Akbar Anthony,"Amitabh Bachchan , Vinod Khanna , Rishi Kapoor , Parveen Babi , Neetu Singh , Shabana Azmi , Pran"
1979,Suhaag,"Amitabh Bachchan , Shashi Kapoor , Rekha , Parveen Babi"
1981,Naseeb,"Amitabh Bachchan , Shatrughan Sinha , Rishi Kapoor , Hema Malini , Reena Roy , Kim Yashpal"
1982,Desh Premee,"Amitabh Bachchan , Shammi Kapoor , Sharmila Tagore , Hema Malini , Parveen Babi"
1983,Coolie,"Amitabh Bachchan , Rishi Kapoor , Rati Agnihotri , Waheeda Rehman , Kader Khan"
1985,Mard,"Amitabh Bachchan , Amrita Singh , Nirupa Roy , Dara Singh"
1988,Ganga Jamuna Saraswati,"Amitabh Bachchan , Mithun Chakraborty , Meenakshi Sheshadri , Jaya Prada"
