Seasons,Players,Teams
2019,Safawi Rasid,Johor Darul Ta'zim F.C
2018,Safawi Rasid,Johor Darul Ta'zim F.C
2017,Baddrol Bakhtiar,Kedah FA
2016,Ahmad Hazwan Bakri,Selangor FA
2015,Mohd Safiq Rahim,Johor Darul Ta'zim F.C
2014,Khairul Azhan Khalid,Pahang FA
2013,Mohd Badhri Mohd Radzi,Kelantan FA
2012,Norshahrul Idlan Talaha,Kelantan FA
2011,Norshahrul Idlan Talaha,Kelantan FA
2010,Norshahrul Idlan Talaha,Kelantan FA
2009,Indra Putra Mahayuddin,Kelantan FA
2007-08,Mohd Helmi Eliza Elias Marlon Alex James,Kedah FA
2006-07,Muhammad Shukor Adan Marlon Alex James,Selangor FA Kedah FA
