Team,Foundation,Hometown,Venue,Capacity
FC Basel,15/11/1893,Basel,St. Jakob-Park,37.994
Grasshopper Club Zürich,01/09/1886,Zürich,Letzigrund,26.104
FC Lugano,28/07/1908,Lugano,Stadio Cornaredo,6.390
FC Luzern,12/08/1901,Luzern,Swissporarena,16.490
FC Sion,01/07/1909,Sion,Tourbillon,14.283
FC St. Gallen,19/04/1879,St. Gallen,Kybunpark,19.456
FC Thun,04/05/1898,Thun,Stockhorn Arena,10.104
Neuchâtel Xamax,1912,Neuchâtel,Stade de la Maladière,12.000
BSC Young Boys,14/03/1898,Bern,Stade de Suisse,31.789
FC Zürich,28/08/1896,Zürich,Letzigrund,26.104
