Vidhan Sabha constituency,Reservation,CD Block and/or Gram panchayats and/or municipal areas
Amdanga in Barasat Sadar subdivision,None,"Amdanga CD Block , and Dattapukur I , Dattapukur II and Kashimpur GPs of Barasat I CD Block"
Bijpur,None,Kanchrapara municipality and Halisahar municipality
Naihati,None,"Naihati municipality , and Jethia , Kampa-Chakla , Majhipara-Palasi and Shibdaspur GPs of Barrackpore I CD Block"
Bhatpara,None,Ward Nos.1 to 17 of Bhatpara municipality
Jagatdal,None,"Ward Nos . 18 to 35 of Bhatpara Municipality , and Kogachi I , Kogachi II , Mamudpur , Panpur Keutia GPs of Barrackpore I CD Block"
Noapara,None,"North Barrackpur municipality , Garulia municipality , Ichhapur Defence Estate , Barrackpur Cantonment , Mohanpur and Seuli GPs of Barrackpore II CD Block"
Barrackpore,None,Barrackpore municipality and Titagarh municipality
Khardaha,None,"Khardaha municipality , Ward Nos.15 , 18 to 21 and 35 of Panihati municipality , and Bandipur , Bilkanda I , Bilkanda II and Patulia GPs of Barrackpore II CD Block"
Dum Dum Uttar,None,North Dum Dum municipality and New Barrackpur municipality
Panihati,None,"Ward Nos.1 to 14 , 16 , 17 and 22 to 34 of Panihati municipality"
Kamarhati,None,Ward Nos . 1 to 16 and 21 to 35 of Kamarhati municipality
Baranagar,None,Baranagar municipality and Ward Nos.17 to 20 of Kamarhati municipality
Dum Dum,None,Dum Dum municipality and Ward Nos.1 to 17 of South Dumdum municipality
Rajarhat Goplapur partly in Barasat Sadar subdivision,None,Ward Nos . 7 to 9 and 14 to 27 of Rajarhat-Gopalpur Municipality and Ward Nos.18 and 21 to 27 of South Dumdum Municipality
