Parish,LGA,Towns
Albert,Gold Coast,"Alberton , Ormeau ( East ) , Woongoolba"
Alford,Scenic Rim,
Barrow,Gold Coast,"Paradise Point , Oxenford"
Beaudesert,Scenic Rim,"Beaudesert , Laravale"
Boonnahbah,Gold Coast,
Boyd,Logan,"Beenleigh , Bethania , Windaroo"
Bromelton,Scenic Rim,Bromelton
Cedar,Gold Coast,"Tamborine Mountain , Upper Coomera"
Coochin,Scenic Rim,"Boonah , Mount Alford"
Coomera,Gold Coast,Coomera
Currigee,Gold Coast,South Stradbroke Island
Darlington,Gold Coast,Ormeau ( West )
Dugandan,Scenic Rim,
Gilston,Gold Coast,"Broadbeach , Burleigh Heads"
Jimboomba,Logan,Jimboomba
Kerry,Scenic Rim,Kerry
Knapp,Scenic Rim,Rathdowney
Logan,Logan,Woodhill
Melcombe,Scenic Rim,
Moffatt,Logan,"Logan Village , Waterford"
