Hits,Team,Season
"1,783",Philadelphia Phillies,1930
"1,769",New York Giants,1930
"1,732",Philadelphia Phillies,1894
"1,732",St. Louis Cardinals,1930
"1,723",Detroit Tigers,1921
"1,722",Chicago Cubs,1930
"1,715",Cleveland Indians,1936
"1,698",Pittsburgh Pirates,1922
"1,693",Philadelphia Phillies,1929
"1,684",St. Louis Browns,1922
"1,684",Boston Red Sox,1997
"1,683",New York Yankees,1930
"1,676",New York Yankees,1936
"1,672",Detroit Tigers,1929
"1,667",Boston Red Sox,2003
"1,667",New York Yankees,1931
"1,665",Boston Red Sox,1950
"1,665",Cleveland Indians,1996
"1,664",Colorado Rockies,2000
"1,664",Philadelphia Phillies,1895
