Rank,Release Date,Film Title,Studio,Gross ( RM )
1,29 Apr,Iron Man 2,United International Pictures,"15,176,953"
2,10 June,The Karate Kid,Sony Pictures,"13,460,360"
3,9 Dec,The Chronicles of Narnia : The Voyage of the Dawn Treader,20th Century Fox,"12,734,700"
4,1 Apr,Clash of the Titans,Warner Brothers,"12,502,677"
5,27 May,Prince of Persia : The Sands of Time,Walt Disney Pictures,"12,283,284"
6,1 Oct,Enthiran,Sun Pictures,"12,268,732"
7,4 March,Alice in Wonderland,Walt Disney Pictures,"11,562,895"
8,29 Apr,Ip Man 2,Golden Screen Cinemas,"11,414,916"
9,10 Sep,Resident Evil : Afterlife,Sony Pictures,"11,061,721"
10,18 Nov,Harry Potter and the Deathly Hallows - Part 1,Warner Brothers,"10,943,856"
