Type,Point,Location,Canton,Elevation
highest point,Monte Rosa,Zermatt,Valais,4634 m
lowest point,Lake Maggiore,Locarno ( district ),Ticino,195 m
highest city,Davos,Davos,Grisons,1560 m
highest village,Juf,Avers,Grisons,2126 m
highest train station,Jungfraujoch,"Fieschertal , ( in Bernese Oberland )",Berne,3454 m
highest airport,Samedan Airport,Samedan,Grisons,1707 m
highest cable car,Klein Matterhorn,Zermatt,Valais,3883 m
highest ski area,Gobba di Rollin,Zermatt,Valais,3899 m
highest waterfall,2nd of the Seerenbach Falls,"Betlis , Amden",St. Gallen,( 302 m of 585 m )
( tallest structure ),Grande Dixence Dam,Hérémence,Valais,( 285 m )
