Year,Winner,Position,School
2003-04,Greg Kealey,Center,Holy Cross
2004-05,Scott Reynolds,Forward,Mercyhurst
2005-06,Blair Bartlett,Forward,Holy Cross
2006-07,Trevor Stewart,Center,Connecticut
2007-08,David Kasch,Center,Canisius
2008-09,Anthony Canzoneri,Forward,Bentley
2009-10,Dave Jarman,Forward,Sacred Heart
2010-11,Rob Linsmayer,Forward,Holy Cross
2011-12,Nick Chiavetta,Forward,Robert Morris
2012-13,Marc Zanette,Right Wing,Niagara
2013-14,Dan O'Donoghue,Forward,Mercyhurst
2014-15,Matt Garbowsky,Center,RIT
2015-16,Ben Carey,Forward,Air Force
2016-17,Ryan Schmelzer,Center,Canisius
2017-18,Jack Riley,Forward,Mercyhurst
2018-19,Joshua Lammon,Forward,Mercyhurst
