Title,Director,Year,First showing
An African Election,Jarreth Merz,2010,January 23
The Bengali Detective,Philip Cox,2010,January 22
The Black Power Mixtape,Göran Hugo Olsson,2011,January 21
Family Portrait in Black and White,Julia Ivanova,2011,January 23
The Flaw,David Sington,2010,January 21
The Green Wave,Ali Samadi Ahadi,2010,January 21
Hell and Back Again,Danfung Dennis,2010,January 23
Knuckle,Ian Palmer,2011,January 21
Position Among the Stars ( Dutch : Stand van de Sterren ),Leonard Retel Helmrich,2010,January 21
Project Nim,James Marsh,2011,January 20
Senna,Asif Kapadia,2010,January 21
Shut Up Little Man ! An Audio Misadventure,Matthew Bate,2011,January 22
