Pos,No,Driver,Constructor,Time,Gap
1,1,Michael Schumacher,Ferrari,1:19.146,-
2,2,Rubens Barrichello,Ferrari,1:19.323,+0.177
3,10,Takuma Sato,BAR - Honda,1:19.693,+0.547
4,9,Jenson Button,BAR - Honda,1:19.700,+0.554
5,8,Fernando Alonso,Renault,1:19.996,+0.850
6,4,Antônio Pizzonia,Williams - BMW,1:20.170,+1.024
7,3,Juan Pablo Montoya,Williams - BMW,1:20.199,+1.053
8,11,Giancarlo Fisichella,Sauber - Petronas,1:20.324,+1.178
9,7,Jarno Trulli,Renault,1:20.411,+1.265
10,6,Kimi Räikkönen,McLaren - Mercedes,1:20.570,+1.424
11,14,Mark Webber,Jaguar - Cosworth,1:20.730,+1.584
12,5,David Coulthard,McLaren - Mercedes,1:20.897,+1.751
13,17,Olivier Panis,Toyota,1:21.068,+1.922
14,15,Christian Klien,Jaguar - Cosworth,1:21.118,+1.972
15,16,Ricardo Zonta,Toyota,1:21.135,+1.989
16,18,Nick Heidfeld,Jordan - Ford,1:22.180,+3.034
17,19,Giorgio Pantano,Jordan - Ford,1:22.356,+3.210
18,21,Zsolt Baumgartner,Minardi - Cosworth,1:24.329,+5.183
19,20,Gianmaria Bruni,Minardi - Cosworth,1:24.679,+5.533
20,12,Felipe Massa,Sauber - Petronas,no time,no time
