Team,Arena,Capacity
Aalborg Pirates,Gigantium Isarena,"5,000"
Esbjerg Energy,Granly Hockey Arena,"4,200"
Frederikshavn White Hawks,Scanel Hockey Arena,"4,000"
Gentofte Stars,Gentofte Skøjtehal,"1,160"
Herlev Eagles,DFDS Seaways Arena,"1,740"
Herning Blue Fox,KVIK Hockey Arena,"4,105"
Hvidovre Fighters,Allan Villadsen Ishockey Arena,"2,000"
Odense Bulldogs,Odense Isstadion,"3,280"
Rungsted Seier Capital,Saxo Bank Arena,"2,460"
Rødovre Mighty Bulls,Rødovre Skøjte Arena,"3,600"
SønderjyskE Ishockey,SE Arena,"5,000"
