Team,Arena,Home Games,Average Attendance,Total Attendance,Capacity Percentage
Chicago Blackhawks,United Center,24,"21,755","522,619",110.4%
Montreal Canadiens,Bell Centre,24,"21,273","510,552",100.0%
Detroit Red Wings,Joe Louis Arena,24,"20,066","481,584",100.0%
Philadelphia Flyers,Wells Fargo Center,24,"19,786","474,878",101.3%
Toronto Maple Leafs,Air Canada Centre,24,"19,426","466,224",103.2%
Ottawa Senators,Scotiabank Place,24,"19,408","465,801",101.3%
Calgary Flames,Scotiabank Saddledome,24,"19,289","462,936",100.0%
Tampa Bay Lightning,Tampa Bay Times Forum,24,"19,055","457,337",99.2%
Buffalo Sabres,First Niagara Center,24,"18,970","455,290",99.5%
Vancouver Canucks,Rogers Arena,24,"18,947","454,740",100.2%
Minnesota Wild,Xcel Energy Center,24,"18,794","451,075",104.7%
Pittsburgh Penguins,Consol Energy Center,24,"18,648","447,560",101.4%
Los Angeles Kings,Staples Center,24,"18,178","436,295",100.3%
Washington Capitals,Verizon Center,24,"17,734","425,638",95.8%
Boston Bruins,TD Garden,24,"17,565","421,560",100.0%
San Jose Sharks,HP Pavilion at San Jose,24,"17,561","421,472",100.0%
Carolina Hurricanes,PNC Arena,24,"17,558","421,401",94.0%
St. Louis Blues,Scottrade Center,24,"17,263","414,328",90.1%
New York Rangers,Madison Square Garden,24,"17,200","412,800",100.0%
New Jersey Devils,Prudential Center,24,"17,114","410,739",97.1%
