Mark,Athlete,Date,Location
62.32,Eric Lemming ( SWE ),29 September 1912,"Stockholm , Sweden"
66.10,Jonni Myyrä ( FIN ),25 August 1919,"Stockholm , Sweden"
66.62,Gunnar Lindström ( SWE ),12 October 1924,"Eksjö , Sweden"
69.88,Eino Penttilä ( FIN ),8 October 1927,"Viipuri , Finland"
71.01,Erik Lundqvist ( SWE ),15 August 1928,"Stockholm , Sweden"
71.57,Matti Järvinen ( FIN ),8 August 1930,"Viipuri , Finland"
71.70,Matti Järvinen ( FIN ),17 August 1930,"Tampere , Finland"
71.88,Matti Järvinen ( FIN ),31 August 1930,"Vaasa , Finland"
72.93,Matti Järvinen ( FIN ),14 September 1930,"Viipuri , Finland"
74.02,Matti Järvinen ( FIN ),27 June 1932,"Turku , Finland"
74.28,Matti Järvinen ( FIN ),25 May 1933,"Mikkeli , Finland"
74.61,Matti Järvinen ( FIN ),7 June 1933,"Vaasa , Finland"
76.10,Matti Järvinen ( FIN ),15 June 1933,"Helsinki , Finland"
76.66,Matti Järvinen ( FIN ),7 September 1934,"Turin , Italy"
77.23,Matti Järvinen ( FIN ),18 June 1936,"Helsinki , Finland"
77.87,Yrjö Nikkanen ( FIN ),25 August 1938,"Karhula , Finland"
78.70,Yrjö Nikkanen ( FIN ),16 October 1938,"Kotka , Finland"
80.41,Bud Held ( USA ),8 August 1953,"Pasadena , CA , United States"
81.75,Bud Held ( USA ),21 May 1955,"Modesto , CA , United States"
83.56,Soini Nikkinen ( FIN ),24 June 1956,"Kuhmoinen , Finland"
