No,Year,Athlete / team,Branch,Info
1,1954,Murat Güler,Swimming,0 0 0 0
2,1955,Lefter Küçükandonyadis,Football,0 0 0 0
3,1956,Hamit Kaplan,Wrestling,0 0 0 0
4,1957,Mustafa Dağıstanlı,Wrestling,0 0 0 0
5,1958,Varol Ürkmez,Football,0 0 0 0
6,1959,Nazmi Bilge,Football,0 0 0 0
7,1960,Mithat Bayrak,Wrestling,0 0 0 0
8,1961,Yücel Cavkaytar,Archery,0 0 0 0
9,1962,Metin Oktay,Football,0 0 0 0
10,1963,Muharrem Dalkılıç,Track and Field,0 0 0 0
11,1964,Kazım Ayvaz,Wrestling,0 0 0 0
12,1965,Kemal Öncü,Equestrianism,0 0 0 0
13,1966,Turgay Şeren,Football,0 0 0 0
14,1967,Ahmet Ayık,Wrestling,0 0 0 0
15,1968,İsmail Akçay,Track and Field,0 0 0 0
16,1969,Necdet Yıldırım,Football,0 0 0 0
17,1970,Ali Rıza Alan,Wrestling,0 0 0 0
18,1971,Özden Ezinler,Fencing,0 0 0 0
19,1972,Cemal Kamacı,Boxing,0 0 0 0
20,1973,Yasin Özdenak,Football,0 0 0 0
