Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,David Archer,QB,Iowa State,Big Eight
Atlanta Falcons,Mike Landrum,TE,Southern Miss,Ind
Dallas Cowboys,Vince Albritton,S,Washington,Pac-10
Dallas Cowboys,Carl Howard,CB,Rutgers,Ind
Dallas Cowboys,Jimmie Turner,LB,Presbyterian,SAC
Denver Broncos,Chris Norman,P,South Carolina,Ind
Denver Broncos,Scott Stankavage,QB,North Carolina,ACC
Detroit Lions,Carl Bland,WR,Virginia Union,CIAA
Green Bay Packers,Al Del Greco,K,Auburn,SEC
Green Bay Packers,Ed West,TE,Auburn,SEC
Houston Oilers,Allen Lyday,DB,Nebraska,Big Eight
Indianapolis Colts,Dean Biasucci,K,Western Carolina,SoCon
Kansas City Chiefs,Don Bracken,P,Michigan,Big Ten
Kansas City Chiefs,David Little,TE,Middle Tennessee State,Ohio Valley
Los Angeles Rams,Shawn Miller,DE,Utah State,Big West
Los Angeles Rams,Scott Tinsley,QB,USC,Pac-10
New York Giants,Phil McConkey,WR,U.S . Naval Academy,Ind . ( I-A )
New York Giants,Elvis Patterson,CB,Kansas,Big Eight
Philadelphia Eagles,Mike Reichenbach,LB,East Stroudsburg,PSAC
Philadelphia Eagles,Andre Waters,S,Cheyney,PSAC
