Date,Sport,Venue/Event,Status,Winner/s
4-28 December,American football,2014 NFL season,Domestic,AFC season winner : New England Patriots NFC season winner : Seattle Seahawks
5,Athletics,Memorial Van Damme,International,United States
5-7,Rhythmic gymnastics,2014 Rhythmic Gymnastics World Cup Final,International,Individual overall : Yana Kudryavtseva Group overall : Russia
6-19,Shooting,2014 ISSF World Shooting Championships,International,China
7,Formula One,2014 Italian Grand Prix,International,Lewis Hamilton ( Mercedes )
7,Hurling,2014 All-Ireland Senior Hurling Championship Final,Domestic,Drawn ; replay on 27 September
8-14,Snooker,2014 Shanghai Masters,International,Stuart Bingham
8-14,Wrestling,2014 World Wrestling Championships,International,Men freestyle : Russia Greco-Roman : Armenia ( golds ) / Iran ( points ) Women freestyle : Japan Overall : Russia
8-21,Sailing,2014 ISAF Sailing World Championships,International,France
10-12,American football,2014 IFAF Flag Football World Championship,International,Men : United States Women : Canada
11-14,Golf,2014 Evian Championship,International,Kim Hyo-joo
11-28,Association football,2014 Copa América Femenina,Continental,Brazil
13,Formula E,2014 Beijing ePrix,International,Lucas di Grassi ( Joest Racing )
14,Motorcycle racing,2014 San Marino and Rimini 's Coast motorcycle Grand Prix,International,"MotoGP : Valentino Rossi ( Yamaha ) Moto2 : Esteve Rabat ( Marc VDS Racing Team ) Moto3 : Álex Rins ( Estrella Galicia 0,0 )"
16-21,Canoeing,2014 ICF Canoe Slalom World Championships,International,France
19-4 October,Multi-sport,2014 Asian Games,Continental,China
21,Formula One,2014 Singapore Grand Prix,International,Lewis Hamilton ( Mercedes )
21,Gaelic football,2014 All-Ireland Senior Football Championship Final,Domestic,Kerry
21-28,Road cycling,2014 UCI Road World Championships,International,Germany
21-28,Rhythmic gymnastics,2014 World Rhythmic Gymnastics Championships,International,Individual overall : Yana Kudryavtseva Team Competition : Russia Groups : Bulgaria Overall : Russia
