Medal,Name,Games,Sport,Event
Gold,Angelica Bengtsson,2010 Singapore,Athletics,Girls ' pole vault
Gold,Khadijatou Sagnia,2010 Singapore,Athletics,Girls ' triple jump
Bronze,Jennifer Ågren,2010 Singapore,Taekwondo,Girls ' 55kg
Bronze,Heidi Schmidt,2010 Singapore,Athletics,Girls ' discus throw
Bronze,Jonna Adlerteg,2010 Singapore,Gymnstics,Girls ' uneven bars
Gold,Marcus Kinhult Linnea Ström,2014 Nanjing,Golf,Mixed team
Silver,Linus Islas Flygare,2014 Nanjing,Fencing,Boys ' individual épée
Silver,Marcus Kinhult,2014 Nanjing,Golf,Boys ' individual
Bronze,Åsa Linde,2014 Nanjing,Fencing,Girls ' individual épée
Bronze,Women 's national U18 team,2014 Nanjing,Handball,Girls ' tournament
Bronze,Agnes Alexiusson,2014 Nanjing,Boxing,Girls ' 60 kg
