#,Player,Event,Round,Score,Result
1,Lee Chong Wei,"2009 India Open , India",First round,"7-21 , 21-16 , 21-18",Semifinals
2,Lee Chong Wei,"2011 Japan Open , Japan",Final,"21-8 , 10-21 , 21-19",Winner
3,Lee Chong Wei,"2011 Denmark Open , Denmark",Final,"21-15 , 21-18",Winner
4,Lee Chong Wei,"2011 BWF Super Series Finals , China",Semifinals,"21-16 , 16-21 , 21-18",Final
5,Lee Chong Wei,"2012 Hong Kong Open , Hong Kong",Final,"21-19 , 21-17",Winner
6,Lee Chong Wei,"2013 All England Open , United Kingdom",Final,"21-17 , 21-18",Winner
7,Lee Chong Wei,"2013 Denmark Open , Denmark",Final,"24-22 , 21-19",Winner
8,Lee Chong Wei,"2014 Korea Open , South Korea",Final,"21-14 , 21-15",Winner
9,Lee Chong Wei,"2014 BWF World Championships , Denmark",Final,"21-19 , 21-19",Winner
10,Lee Chong Wei,"2014 Asian Games , South Korea",Semifinals,"21-17 , 19-21 , 21-11",Final
11,Lee Chong Wei,"2016 Summer Olympic Games , Brazil",Final,"21-18 , 21-18",Winner
12,Viktor Axelsen,"2017 China Open , China",Final,"21-16 , 14-21 , 21-13",Winner
13,Viktor Axelsen,"2018 BWF World Championships , China",Quarterfinals,"21-19 , 21-11",Semifinals
14,Kento Momota,"2018 French Open , France",Semifinals,"21-18 , 21-8",Winner
