Year,Title,Role
2000,Traffic,Seth Abrahams
2001,Ocean 's Eleven,Himself
2002,Pinocchio,Leonardo ( voice )
2003,Mona Lisa Smile,Tommy Donegal
2004,Win a Date with Tad Hamilton !,Pete Monash
2004,P.S,F. Scott Feinstadt
2004,Ocean 's Twelve,Himself
2004,In Good Company,Carter Duryea
2007,Spider-Man 3,Eddie Brock / Venom
2008,Personal Effects,Clay ( voice )
2010,Valentine 's Day,Jason Morris
2010,Death Bed Subtext,Ben
2010,Predators,Edwin
2011,Take Me Home Tonight,Matt Franklin
2011,The Double,Ben Geary
2012,The Giant Mechanical Man,Doug
2013,The Big Wedding,Jared Griffin
2014,Don Peyote,Glavin Culpepper
2014,The Calling,Ben Wingate
2014,Playing It Cool,Scott
