Year,Film,Role,Other notes
1974,Mere Saath Chal,Geeta,
1974,Samna,Kamley,Marathi film
1975,Nishant ( Night 's End ),Rukumani,
1975,Charandas Chor,Rajkumari ( Princess ),
1976,Manthan,Bindu,
1977,Bhumika,Usha/Urvashi Dalvi,National Film Award for Best Actress Nominated- Filmfare Best Actress Award
1977,Jait Re Jait,Chindhi,Marathi film
1977,Saal Solvan Chadya,Pinky,Punjabi film
1978,Kondura / Anugraham,Parvati,Hindi / Telugu film
1978,Gaman,Khairun Hussain,
1978,Sarvasakshi,Sujatha,Marathi Film
1980,Bhavani Bhavai,Ujaan,Gujarati Film
1980,Aakrosh,Nagi Lahanya,
1980,Albert Pinto Ko Gussa Kyon Aata Hai,Joan,
1980,The Naxalites,Ajitha,
1980,Anveshane,Revati,Kannada film
1981,Chakra,Amma,National Film Award for Best Actress Filmfare Best Actress Award
1981,Sadgati,Jhuria,Television film
1981,Tajurba,,
1982,Arth,Kavita Sanyal,Nominated- Filmfare Best Supporting Actress Award
