Year,Round,Pick,Name,From
1997,2,45,God Shammgod,Providence College
1997,2,48,Predrag Drobnjak,Partizan ( Serbia )
1996,2,55,Ronnie Henderson,Louisiana State University
1995,1,4,Rasheed Wallace,University of North Carolina
1995,2,32,Terrence Rencher,University of Texas at Austin
1994,1,5,Juwan Howard,University of Michigan
1994,2,32,Jim McIlvaine,Marquette University
1993,1,6,Calbert Cheaney,Indiana University
1993,2,30,Gheorghe Mureșan,Pau-Orthez ( France )
1993,2,38,Conrad McRae,Syracuse University
1992,1,6,Tom Gugliotta,North Carolina State University
1992,2,32,Brent Price,University of Oklahoma
1991,1,19,LaBradford Smith,University of Louisville
1990,2,35,Greg Foster,University of Texas at El Paso
1990,2,37,A. J. English,Virginia Union University
1989,1,9,Tom Hammonds,Georgia Institute of Technology
1989,2,39,Ed Horton,University of Iowa
1989,2,41,Doug Roth,University of Tennessee
1988,1,12,Harvey Grant,University of Oklahoma
1988,2,36,Ledell Eackles,University of New Orleans
