No,Race,Pole position,Most laps led,Winning driver,Winning manufacturer
1,NextEra Energy Resources 250,Austin Dillon,James Buescher,Michael Waltrip,Toyota
2,Lucas Oil 150,Clint Bowyer,Kyle Busch,Kyle Busch,Toyota
3,Too Tough To Tame 200,Cole Whitt,Kasey Kahne,Kasey Kahne,Toyota
4,Kroger 250,Johnny Sauter,Johnny Sauter,Johnny Sauter,Chevrolet
5,Bully Hill Vineyards 200,Kyle Busch,Kyle Busch,Kyle Busch,Toyota
6,Lucas Oil 200,Justin Marks,Kyle Busch,Kyle Busch,Toyota
7,North Carolina Education Lottery 200,Timothy Peters,Clint Bowyer,Kyle Busch,Toyota
8,O'Reilly Auto Parts 250,Austin Dillon,Clint Bowyer,Clint Bowyer,Chevrolet
9,WinStar World Casino 400K,James Buescher,Johnny Sauter,Ron Hornaday,Chevrolet
10,UNOH 225,Johnny Sauter,Kyle Busch,Kyle Busch,Toyota
11,Coca-Cola 200,David Mayhew,Austin Dillon,Matt Crafton,Chevrolet
12,Lucas Deep Clean 200,Austin Dillon,Timothy Peters,Austin Dillon,Chevrolet
13,AAA Insurance 200,Austin Dillon,James Buescher,Timothy Peters,Toyota
14,Good Sam RV Emergency Road Service 125,Kevin Harvick,Kevin Harvick,Kevin Harvick,Chevrolet
15,VFW 200,Matt Crafton,Mark Martin,Kevin Harvick,Chevrolet
16,O'Reilly Auto Parts 200,Elliott Sadler,Kevin Harvick,Kevin Harvick,Chevrolet
17,Good Sam Club 200,Ricky Carmichael,Clint Bowyer,Ron Hornaday,Chevrolet
18,Fast Five 225,Steve Arpin,Kevin Harvick,Austin Dillon,Chevrolet
19,F.W . Webb 175,Kyle Busch,Kyle Busch,Kyle Busch,Toyota
20,Kentucky 225,Austin Dillon,Ron Hornaday,Ron Hornaday,Chevrolet
