Final Ranking,December Ranking,September Ranking,Player,Position,College
1,4,15,Shomari Williams,Linebacker,Queen 's
2,1,6,John Bender,Offensive guard,Nevada
3,2,3,Cory Greenwood,Linebacker,Concordia
4,3,2,Danny Watkins,Offensive tackle,Baylor
5,11,4,Joe Eppele,Offensive tackle,Washington State
6,7,12,Rob Maver,Kicker / Punter,Guelph
7,10,1,Brian Bulcke,Defensive lineman,Stanford
8,13,13,Taurean Allen,Defensive back,Wilfrid Laurier
9,12,-,Eddie Steele,Defensive tackle,Manitoba
10,-,-,Shawn Gore,Wide receiver,Bishop 's Gaiters
11,-,-,Joel Reinders,Offensive lineman,Waterloo Warriors
12,5,9,J'Michael Deane,Offensive lineman,Michigan State
13,8,8,Joash Gesse,Linebacker,Montreal
14,-,-,Steven Turner,Wide receiver,Bishop 's
15,6,14,Cory Watson,Wide receiver,Concordia
-,9,5,Akeem Foster,Wide receiver,St. Francis Xavier
-,14,7,Chima Ihekwoaba,Defensive End,Wilfrid Laurier
-,15,11,Nasser Jamal,Offensive tackle,Louisiana-Lafayette
-,-,10,Chris Rwabukamba,Defensive back,Duke
