State,Commissioner,Portfolio,Political party
Germany,von der Leyen Ursula von der Leyen,President,CDU
Latvia,Dombrovskis Valdis Dombrovskis,Executive Vice President - An Economy that Works for the People,Unity
Croatia,Šuica Dubravka Šuica,Vice President - Democracy and Demography,HDZ
Greece,Schinas Margaritis Schinas,Vice President - Promoting the European Way of Life,ND
Austria,Hahn Johannes Hahn,Commissioner for Budget and Administration,ÖVP
Ireland,Hogan Phil Hogan,Commissioner for Trade,FG
Bulgaria,Gabriel Mariya Gabriel,"Commissioner for Innovation , Research , Culture , Education and Youth",GERB
Cyprus,Kyriakides Stella Kyriakides,Commissioner for Health and Food Safety,DISY
Romania,Vălean Adina-Ioana Vălean,Commissioner for Transport,PNL
Hungary,Várhelyi Olivér Várhelyi,Commissioner for Neighbourhood and Enlargement,"EPP ( Independent on the national level , but affiliated with EPP at the EU level )"
