Rank,Athlete,Nationality,Time,Notes
1,Zersenay Tadese,Eritrea,59:35,CR
2,Bernard Kipyego,Kenya,59:59,
3,Dathan Ritzenhein,United States,1:00:00,PB
4,Wilson Kipsang Kiprotich,Kenya,1:00:08,
5,Samuel Tsegay,Eritrea,1:00:17,PB
6,Wilson Kwambai Chebet,Kenya,1:00:59,
7,Kiplimo Kimutai,Kenya,1:01:31,SB
8,Stephen Mokoka,South Africa,1:01:36,
9,Juan Carlos Romero,Mexico,1:01:48,PB
10,Sammy Kitwara,Kenya,1:01:59,
11,Tilahun Regassa,Ethiopia,1:02:08,SB
12,Dereje Tesfaye,Ethiopia,1:02:09,
13,Rachid Kisri,Morocco,1:02:11,PB
14,Abebe Negewo,Ethiopia,1:02:25,PB
15,Fabiano Joseph,Tanzania,1:02:25,SB
16,Marco Joseph,Tanzania,1:02:41,PB
17,Marilson dos Santos,Brazil,1:02:41,SB
18,Daniele Meucci,Italy,1:02:43,PB
19,Abrha Adhanom,Eritrea,1:02:47,PB
20,Andrew Carlson,United States,1:02:50,
