Date,Sport,Venue/Event,Status,Winner/s
1-9,Multi-sport,2015 Indian Ocean Island Games,International,Réunion
3-8,Radio-controlled 1:10 off-road,2015 EFRA European 1:10 Off-Road Championship,Continental,2WD : Lee Martin ( Yokomo ) 4WD : Michal Orlowski ( Schumacher )
5-9,Rowing,2015 World Rowing Junior Championships,International,Germany
6-9,Road cycling,2015 European Road Championships ( under-23 and juniors only ),Continental,Poland
6-9,Golf,2015 WGC-Bridgestone Invitational,International,Shane Lowry
6-9,Judo,2015 World Cadet Judo Championships,International,Japan
6-14,Amateur boxing,2015 ASBC Asian Confederation Women 's Boxing Championships,Continental,China
6-15,Amateur boxing,2015 EUBC European Confederation Boxing Championships,Continental,Russia
6-18,Masters athletics,2015 World Masters Athletics Championships,International,"For results , click here"
7-9,Radio-controlled 1:10 off-road,2015 ROAR 1:10 Off-Road National Championship,Domestic,2WD : Ryan Cavalieri ( Team Associated ) 4WD : Ryan Cavalieri ( Team Associated )
7-15,Multi-sport,2015 Parapan American Games,International,Brazil
7-16,Multi-sport,2015 CPISRA World Games,International,England
7-16,Volleyball,2015 FIVB Volleyball Girls ' U18 World Championship,International,Italy
7-20,Handball,2015 Men 's Youth World Handball Championship,International,France
8-9,Triathlon,Triathlon World Cup # 5,International,Men : Igor Polyanski Women : Felicity Sheedy-Ryan
8-16,Basketball,2015 FIBA Americas Women 's Championship,Continental,Canada
9,Motorcycle racing,Indianapolis motorcycle Grand Prix,International,MotoGP : Marc Márquez ( Repsol Honda Team ) Moto2 : Álex Rins ( Páginas Amarillas HP 40 ) Moto3 : Livio Loi ( RW Racing GP )
10-16,Tennis,2015 Rogers Cup,International,Men : Andy Murray Women : Belinda Bencic
10-16,Badminton,2015 BWF World Championships,International,China
11,Association football,2015 UEFA Super Cup,Continental,Barcelona
