Stadium,Club ( s ),Location,Opened,Closed,Capacity
FFB Field,TBD,Belmopan City,2011,N/A,"3,000"
Isidoro Beaton Stadium,Belmopan Bandits,Belmopan City,TBD,N/A,TBD
Marshalleck Stadium,Hankook Verdes,Benque Viejo del Carmen,TBD,N/A,"2,000"
MCC Grounds,FC Belize,Belize City,TBD,N/A,
Michael Ashcroft Stadium,TBD,Independence,TBD,N/A,"2,000"
Norman Broaster Stadium,San Ignacio United,San Ignacio Cayo,TBD,N/A,"2,000"
People 's Stadium,Juventus ( Belize ),Orange Walk,TBD,N/A,
Placencia Football Field,Placencia Assassin,Placencia,TBD,N/A,
San Felipe Football Field,San Felipe Barcelona,San Felipe,,N/A,
San Pedro Municipal Stadium,San Pedro Seadogs,San Pedro,TBD,N/A,TBD
Toledo Union Field,Paradise/Freedom Fighters,Punta Gorda,TBD,N/A,
