Name,No . Specimens,Abbr,Country,City
Instituto de Ecología y Sistemática,"400,000",HAC,Cuba,Havana
"Herbario Paul C. Standley , Escuela Agrícola Panamericana","240,000",EAP,Honduras,Tegucigalpa
"Herbario Nacional , Museo Nacional de Costa Rica","215,000",CR,Costa Rica,San José
Institute of Jamaica,"125,000",IJ,Jamaica,Kingston
Instituto Nacional de Biodiversidad,"110,000",INB,Costa Rica,Santo Domingo de Heredia
"Herbario Prof. Dr. J. Bisse , Jardín Botánico Nacional","100,000",HAJB,Cuba,Havana
Jardín Botánico Nacional Dr. Rafael M. Moscoso,"100,000",JBSD,Dominican Republic,Santo Domingo
Centro Oriental de Ecosistemas y Biodiversidad,"92,000",BSC,Cuba,Santiago de Cuba
"Herbario Luis A. Fournier , Universidad de Costa Rica","90,000",USJ,Costa Rica,San José
University of San Carlos of Guatemala,"84,000","AGUAT , BIGU , USCG",Guatemala,Guatemala City
The National Herbarium of Trinidad and Tobago,"70,000",TRIN,Trinidad,St. Augustine
University of Panama,"67,000",PMA,Panama,Panama City
"Cyril Hardy Nelson-Sutherland Herbarium , National Autonomous University of Honduras","45,000",TEFH,Honduras,Tegucigalpa
University of Puerto Rico,"43,000",UPRRP,Puerto Rico ( USA ),San Juan
Universidad de El Salvador,"35,000",ITIC,El Salvador,San Salvador
University of the West Indies,"34,000",UCWI,Jamaica,Kingston
"Herbario Rafael M. Moscoso , Pontificia Universidad Católica Madre y Maestra","25,000",UCMM,Dominican Republic,Santiago de los Caballeros
Universidad del Valle de Guatemala,"25,000",UVAL,Guatemala,Guatemala City
National Autonomous University of Nicaragua,"25,000",HULE,Nicaragua,León
"Asociación Jardín Botánico La Laguna , Urbanización Plan de La Laguna","25,000",LAGU,El Salvador,La Libertad
