School,Nickname,City,State,Conference
Dayton,Flyers,Dayton,Ohio,Pioneer
Duquesne,Dukes,Pittsburgh,Pennsylvania,Northeast
Fordham,Rams,New York City,New York,Patriot
Georgetown,Hoyas,Washington,District of Columbia,Patriot
Holy Cross,Crusaders,Worcester,Massachusetts,Patriot
Incarnate Word,Cardinals,San Antonio,Texas,Southland
Merrimack,Warriors,North Andover,Massachusetts,Northeast
Sacred Heart,Pioneers,Fairfield,Connecticut,Northeast
Saint Francis,Red Flash,Loretto,Pennsylvania,Northeast
San Diego,Toreros,San Diego,California,Pioneer
Villanova,Wildcats,Villanova,Pennsylvania,CAA
