Year,Title,Role,Director,Notes
1925,School for Wives,,Victor Halperin,Uncredited
1932,Tom Brown of Culver,John,William Wyler,Billed as Tyrone Power Jr. film debut
1934,Flirtation Walk,Cadet,Frank Borzage,Uncredited
1936,Girls ' Dormitory,Count Vallais,Irving Cummings,Billed as Tyrone Power Jr
1936,Ladies in Love,Count Karl Lanyi,Edwin H. Griffith,Billed as Tyrone Power Jr
1936,Lloyd 's of London,Jonathan Blake,Henry King,
1937,Love Is News,Steve Layton,Tay Garnett,Remade as That Wonderful Urge ( 1948 )
1937,Café Metropole,Alexis,Edwin H. Griffith,
1937,Thin Ice,Prince Rudolph,Sidney Lansfield,Aka Lovely to Look At ( UK )
1937,Second Honeymoon,Raoul McLish,Walter Lang,
1938,In Old Chicago,Dion O'Leary,Henry King,
1938,Alexander 's Ragtime Band,Roger Alexander Grant,Henry King,
1938,Marie Antoinette,Count Axel de Fersen,W.S . Van Dyke,Originally released in sepiatone
1938,Suez,Ferdinand de Lesseps,Allan Dwan,Originally released in sepiatone
1939,Jesse James,Jesse James,Henry King,Filmed in Technicolor
1939,Rose of Washington Square,Barton DeWitt Clinton,Gregory Ratoff,
1939,Second Fiddle,Jimmy Sutton,Sidney Lansfield,aka Irving Berlin 's Second Fiddle
1939,The Rains Came,Dr. Major Rama Safti,Clarence Brown,Re-issued in sepiatone
1939,Day-Time Wife,Ken Norton,Gregory Ratoff,
1940,Johnny Apollo,Bob Cain ( Johnny Apollo ),Henry Hathaway,
