Scientific name,Common name,Classified,Conservation status
Aotus lemurinus,Gray-bellied night monkey,1843 I. Geoffroy,vulnerable
Aotus zonalis,Panamanian night monkey,1843 I. Geoffroy,data deficient
Aotus griseimembra,Gray-handed night monkey,1912 Elliot,vulnerable
Aotus jorgehernandezi,Hernández-Camacho 's night monkey,2007 Defler and Bueno,data deficient
Aotus brumbacki,Brumback 's night monkey,1983 Hershkovitz,vulnerable
Aotus trivirgatus,Three-striped night monkey,1823 Spix,least concern
Aotus vociferans,Spix 's night monkey,1811 Humboldt,least concern
Aotus miconax,Peruvian night monkey,1927 Thomas,vulnerable
Aotus nancymaae,Nancy Ma 's night monkey,1983 Hershkovitz,least concern
Aotus azarae,Azara 's night monkey,1811 Humboldt,least concern
Aotus nigriceps,Black-headed night monkey,1909 Dollman,least concern
